film_id,nat_title,film_genre
ES2019_027,Mario Y Los Perros,DEX
ES2019_027,Mario Y Los Perros,BIO
ES2019_027,Mario Y Los Perros,DPA
ES2019_028,"Manolo Sanlúcar, el legado",DPA
ES2019_028,"Manolo Sanlúcar, el legado",BIO
ES2019_029,Universo Pinzás,MET
ES2019_029,Universo Pinzás,DPE
ES2019_030,Cuca (Retrato de una mujer),DOB
ES2019_031,Se prohíbe el cante,DPA
ES2019_032,Jesús López Cobos. Música En Las Manos,DOB
ES2019_033,Cordes,HOR
ES2019_033,Cordes,THR
ES2019_034,¿Qué coño está pasando?,DPA
ES2019_035,Soñando Un Lugar,DPA
ES2019_035,Soñando Un Lugar,DBO
ES2019_036,Dolorosa Gioia,BIO
ES2019_036,Dolorosa Gioia,ROM
ES2019_036,Dolorosa Gioia,THR
ES2019_037,"Beirut, la vie en rose",DPA
ES2019_037,"Beirut, la vie en rose",DOB
ES2019_038,The Invocation of Enver Simaku,HOR
ES2019_039,El brazalete de oro,ADV
ES2019_039,El brazalete de oro,ACT
ES2019_039,El brazalete de oro,FAN
ES2019_039,El brazalete de oro,ROM
ES2019_040,La felicidad de los perros,DRA
ES2019_040,La felicidad de los perros,THR
ES2019_041,Goodbye Ringo,DPA
ES2019_041,Goodbye Ringo,DPE
ES2019_041,Goodbye Ringo,MET
ES2019_042,Sesión Salvaje,DPA
ES2019_042,Sesión Salvaje,MET
ES2019_043,Almost Ghosts,DPA
ES2019_044,The Chain,HOR
ES2019_044,The Chain,THR
ES2019_045,Tierras Construidas,DPA
ES2019_045,Tierras Construidas,DPO
ES2019_046,City for Sale,DPA
ES2019_046,City for Sale,DOB
ES2019_047,En busca del Óscar,DOB
ES2019_047,En busca del Óscar,DPE
ES2019_047,En busca del Óscar,MET
ES2019_048,Moira,DRA
ES2019_048,Moira,HIS
ES2019_048,Moira,THR
ES2019_049,Regresa El Cepa,DPA
ES2019_049,Regresa El Cepa,DPE
ES2019_049,Regresa El Cepa,MET
ES2019_050,Si me borrara el viento lo que yo canto,DPA
ES2019_050,Si me borrara el viento lo que yo canto,BIO
ES2019_051,Be Happy! (the musical),MUS
ES2019_052,Love Me Not,WAR
ES2019_052,Love Me Not,ROM
ES2019_052,Love Me Not,EXP
ES2019_053,Univers(o) Pecanins,DPA
ES2019_054,Peret: yo soy la rumba,DPA
ES2019_054,Peret: yo soy la rumba,DPE
ES2019_054,Peret: yo soy la rumba,DOB
ES2019_055,"Mujeres, de Coque Malla",DPE
ES2019_055,"Mujeres, de Coque Malla",DOB
ES2019_056,Basque Selfie,DPE
ES2019_056,Basque Selfie,DOB
ES2019_057,Antonio López: apuntes del natural,DOB
ES2019_057,Antonio López: apuntes del natural,DPA
ES2019_058,Enterrados,THR
ES2019_058,Enterrados,DRA
ES2019_059,Zaniki,DPE
ES2019_059,Zaniki,DPO
ES2019_060,La primera cita,DRA
ES2019_061,Sense sostre,DRA
ES2019_062,Yo Galgo,DPA
ES2019_063,Boi,THR
ES2019_063,Boi,ROM
ES2019_064,"Yo, mi mujer y mi mujer muerta",COM
ES2019_064,"Yo, mi mujer y mi mujer muerta",DRA
ES2019_064,"Yo, mi mujer y mi mujer muerta",ROA
ES2019_065,"522. Un gato, un chino y mi padre",COM
ES2019_065,"522. Un gato, un chino y mi padre",ROM
ES2019_065,"522. Un gato, un chino y mi padre",ROA
ES2019_066,El cuadro,DPA
ES2019_066,El cuadro,DPE
ES2019_066,El cuadro,THR
ES2019_067,Ojos Negros,COA
ES2019_067,Ojos Negros,DRA
