year,award,category,name,result,yob,age,gender,film,film_id,character_id,person_id
2021,CDC,BD,Albert Dupontel,A,1964,57,M,Adieu les cons,FR2020_085,,
2021,CDC,BD,Maïwenn,N,1976,45,F,ADN,FR2020_091,,
2021,CDC,BD,Emmanuel Mouret,N,1970,51,M,"Les Choses qu'on dit, les choses qu'on fait",FR2020_067,,
2021,CDC,BD,François Ozon,N,1967,54,M,Été 85,FR2020_045,,
2020,CDC,BAM,Daniel Auteuil,N,1950,70,M,La Belle Époque,FR2019_181,FR2019_181_01,
2020,CDC,BSAF,Fanny Ardant,A,1949,71,F,La Belle Époque,FR2019_181,,
2020,CDC,BSAF,Josiane Balasko,N,1950,70,F,Grâce à Dieu,FR2019_036,,
2020,CDC,BSAF,Hélène Vincent,N,1943,77,F,Hors normes,FR2019_174,,
2020,CDC,BD,Roman Polanski,A,1933,87,M,J'accuse,FR2019_187,,
2020,CDC,BD,Nicolas Bedos,N,1979,41,M,La Belle Époque,FR2019_181,,
2020,CDC,BD,François Ozon,N,1967,53,M,Grâce à Dieu,FR2019_036,,
2020,CDC,BD,Éric Toledano,N,1971,49,M,Hors normes,FR2019_174,,
2020,CDC,BD,Olivier Nakache,N,1973,47,M,Hors normes,FR2019_174,,
2019,CDC,BAM,Alex Lutz,A,1978,41,M,Guy,FR2018_134,FR2018_134_01,
2019,CDC,BSAM,Jean-Hugues Anglade,N,1955,64,M,Le Grand Bain,FR2018_163,FR2018_163_01,
2019,CDC,BSAM,Denis Podalydès,N,1963,56,M,"Plaire, aimer et courir vite",FR2018_088,,
2019,CDC,BSAF,Isabelle Adjani,N,1955,64,F,Le monde est à toi,FR2018_128,FR2018_128_01,
2019,CDC,BD,Jacques Audiard,A,1952,67,M,Les Frères Sisters,FR2018_142,,
2019,CDC,BD,Emmanuel Finkiel,N,1961,58,M,La Douleur,FR2018_011,,
2019,CDC,BD,Gilles Lellouche,N,1972,47,M,Le Grand Bain,FR2018_163,,
2019,CDC,BD,Alex Lutz,N,1978,41,M,Guy,FR2018_134,,
2019,CDC,BD,Xavier Legrand,N,1979,40,M,Jusqu'à la garde,FR2018_018,,
2019,CDC,BD,Jeanne Herry,N,1978,41,F,Pupille,FR2018_182,,
2018,CDC,BAM,Daniel Auteuil,N,1950,68,M,Le Brio,FR2017_179,FR2017_179_01,
2018,CDC,BAM,Jean-Pierre Bacri,N,1951,67,M,Le Sens de la fête,FR2017_141,FR2017_141_01,
