film_id,nat_title,eng_title,director,release_type,release_date,film_type,Close viewing?,,,,,,,,,,,,,,,,,,
FR2022_037,Ils sont vivants,A Change of Heart,Jérémie Elkaïm,THE,23/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_038,Maigret,Maigret,Patrice Leconte,THE,23/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_039,Selon la police,Cop Goes Missing,Frédéric Videau,THE,23/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_040,Zaï Zaï Zaï Zaï,,François Desagnat,THE,23/02/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_041,Down in Paris,Down in Paris,Antony Hickling,THE,02/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_042,Robuste,Robust,Constance Meyer,THE,02/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_043,Viens je t'emmène,Nobody's Hero,Alain Guiraudie,THE,02/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_044,À demain mon amour,A Guide to Love and Fighting Capitalism,Basile Carré-Agostini,THE,09/03/2022,D,,,,,,,,,,,,,,,,,,,
FR2022_045,Goliath,Goliath,Frédéric Tellier,THE,09/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_046,La Campagne de France,,Sylvain Desclous,THE,09/03/2022,D,,,,,,,,,,,,,,,,,,,
FR2022_047,Ma nuit,My Night,Antoinette Boulat,THE,09/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_048,Murder Party,The Murder Party,Nicolas Pleskof,THE,09/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_049,Permis de construire,Licence to Build,Eric Fraticelli,THE,09/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_050,À plein temps,Full Time,Eric Gravel,THE,16/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_051,Alors on danse,Dancing On,Michèle Laroque,THE,16/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_052,Entre les vagues,The Braves,Anaïs Volpé,THE,16/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_053,Funambules,Tightrope Walkers,Ilan Klipper,THE,16/03/2022,D,,,,,,,,,,,,,,,,,,,
FR2022_054,Notre-Dame brûle,Notre-Dame on Fire,Jean-Jacques Annaud,THE,16/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_055,Trois fois rien,Three Times Nothing,Nadège Loiseau,THE,16/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_056,Bruno Reidal,"Bruno Reidal, Confessions of a Murderer",Vincent Le Port,THE,23/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_057,De nos frères blessés,Faithful,Hélier Cisterne,THE,23/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_058,La Brigade,The Kitchen Brigade,Louis-Julien Petit,THE,23/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_059,Le Temps des secrets,The Time of Secret,Christophe Barratier,THE,23/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_060,Seule la Terre est éternelle,The Earth Is All That Lasts,"François Busnel, Adrien Soland",THE,23/03/2022,D,,,,,,,,,,,,,,,,,,,
FR2022_061,Une mère,An Ordinary Mother,Sylvie Audcoeur,THE,23/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_062,En corps,Rise,Cédric Klapisch,THE,30/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_063,Le Monde d'hier,The World of Yesterday, Diastème,THE,30/03/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_064,À la folie,By Your Side,Audrey Estrougo,THE,06/04/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_065,En même temps,Sticking Together,"Benoît Delépine, Gustave Kervern",THE,06/04/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_066,Mon héroïne,My Heroine,Noémie Lefort,THE,06/04/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_067,Qu'est-ce qu'on a tous fait au bon Dieu?,Serial (Bad) Weddings 3,Philippe de Chauveron,THE,06/04/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_068,À l'ombre des filles,Singing Jailbirds,Etienne Comar,THE,13/04/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_069,Les Gagnants,,"Laurent Junca, Azedine Ben",THE,13/04/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_070,Vortex,Vortex,Gaspar Noé,THE,13/04/2022,F,,,,,,,,,,,,,,,,,,,
FR2022_071,Et j'aime à la fureur,Flickering Ghosts of Loves Gone By,André Bonzel,THE,20/04/2022,D,,,,,,,,,,,,,,,,,,,
