film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,,,,,,,,,,,,,,,
DE2021_035,Coup,DE2021_001_35,Rocko Schamoni,,M,,,,,,,,,,,,,,,,,,,,
DE2021_036,Sky Sharks,DE2021_001_36,Yan Birch,,,,,,,,,,,,,,,,,,,,,,
DE2021_037,Tides,DE2021_001_37,Ian Glen,,,,,,,,,,,,,,,,,,,,,,
DE2021_038,Bekenntnisse des Hochstaplers Felix Krull,DE2021_001_38,Maria Furtwängler,,,,,,,,,,,,,,,,,,,,,,
DE2021_039,Mary Bauermeister - eins und eins ist drei,DE2021_001_39,Mary Bauermeister,,F,HE,WWE,MC,SE,AB,,,,,,,,,,,,,,,
DE2021_040,Vic the Viking and the Magic Sword,DE2021_001_40,David Schaal,,,,,,,,,,,,,,,,,,,,,,
DE2021_041,1986,DE2021_001_41,Vitaliy Kotovitskiy,,,,,,,,,,,,,,,,,,,,,,
DE2021_042,Beckenrand Sheriff,DE2021_001_42,Gisela Schneeberger,,,,,,,,,,,,,,,,,,,,,,
DE2021_043,Curveball,DE2021_001_43,Thorsten Merten ,,,,,,,,,,,,,,,,,,,,,,
DE2021_044,Ein Nasser Hund,DE2021_001_44,Marco Albrecht,,,,,,,,,,,,,,,,,,,,,,
DE2021_045,Ivie wie Ivie,DE2021_001_45,Horst Kotterba,,,,,,,,,,,,,,,,,,,,,,
DE2021_046,Je Suis Karl,DE2021_001_46,Anne-Marie Ponsot,,,,,,,,,,,,,,,,,,,,,,
